study_id,text,gpt_response,icpr_keywords,missing_icpsr
6624,"This special topic poll sought respondents' views on
 President Bill Clinton's handling of the situation in the former
 Yugoslavian republics and the Whitewater real estate
 venture. Respondents were asked whether they believed high government
 officials or the national news media when their reports differed, and
 whether the national news media paid too much attention to topics such
 as Whitewater, health care, crime, and the economy. The role of the
 news media in the Whitewater situation was also probed. Demographic
background variables include political orientation and sex.","['bill clinton', 'yugoslavian republics', 'whitewater venture', 'government officials', 'national news media', 'media attention', 'health care', 'crime', 'economy', 'political orientation.']","['bill clinton', 'government officials', 'health care', 'media attention', 'national news media', 'political orientation', 'whitewater inquiry', 'yugoslav wars', 'yugoslavia', 'yugoslavian republics']","bill clinton,yugoslavian republics,whitewater venture,national news media,media attention,political orientation."
9770,"This data collection provides detailed tabulations of
100-percent data items from the 1990 Census of Population and Housing.
These tabulations are presented for states and their subareas in
hierarchical sequence down to the census tract or block numbering area
(BNA) level. Population items include age, race, sex, marital status,
Hispanic origin, household type, and household
relationship. Population items for Puerto Rico include persons,
families, households, sex, age, marital status, household size, and
household type. Housing items include occupancy/vacancy status,
tenure, units in structure, contract rent, meals included in rent,
value, and number of rooms in housing unit. Crosstabulations include
variables such as single year of age by sex, tenure by age of
householder, age by group quarters, aggregate value by units in
structure, and tenure by number of nonrelatives. The dataset contains
both ""A"" and ""B"" records. ""A"" records are provided for each
summary level in a geographic area, and are repeated for each
geographic component. ""B"" records repeat the same data for each
summary level/geographic component combination, but are tabulated for
each of ten categories of race and Hispanic origin.","['1990 census', 'population data', 'housing data', 'demographic information', 'geographic analysis', 'census tract', 'data tabulation', 'race and ethnicity', 'household characteristics', 'occupancy statistics']","['census', 'demographic statistics', 'household composition', 'housing conditions', 'housing occupancy', 'population census', 'population characteristics', 'population distribution', 'population estimates', 'race relations']","1990 census,population data,housing data,demographic information,geographic analysis,data tabulation,race and ethnicity,occupancy statistics"
24054,"The data contain records of sentenced offenders committed to the custody of the Bureau of Prisons (BOP) during fiscal year 1997. The data include commitments of United States District Court, violators of conditions of release (e.g., parole, probation, or supervised release violators), offenders convicted in other courts (e.g., military or District of Columbia courts), and persons admitted to prison as material witnesses or for purposes of treatment, examination, or transfer to another authority. These data include variables that describe the offender, such as age, race, citizenship, as well as variables that describe the sentences and expected prison terms. The data file contains original variables from the Bureau of Prisons' SENTRY database, as well as ""SAF"" variables that denote subsets of the data. These SAF variables are related to statistics reported in the Compendium of Federal Justice Statistics, Tables 7.9-7.16. Variables containing identifying information (e.g., name, Social Security Number) were replaced with blanks, and the day portions of date fields were also sanitized in order to protect the identities of individuals. These data are part of a series designed by the Urban Institute (Washington, DC) and the Bureau of Justice Statistics. Data and documentation were prepared by the Urban Institute.","['bureau of prisons', 'sentenced offenders', 'fiscal year 1997', 'united states district court', 'release violators', 'military courts', 'material witnesses', 'offender characteristics', 'sentence descriptions', 'data sanitization']","['bail hearings', 'correctional facilities', 'criminal courts', 'criminal justice policy', 'criminal justice system', 'criminal law', 'criminal offenses', 'judicial decisions', 'sentencing guidelines', 'united states supreme court']","bureau of prisons,sentenced offenders,fiscal year 1997,united states district court,release violators,military courts,material witnesses,offender characteristics,sentence descriptions,data sanitization"
1125,"Telephone survey of 221 eligible voting African Americans
conducted from March to June 1996.","['telephone survey', 'eligible voters', 'african americans', 'march to june', '1996', 'voting behavior', 'social research', 'data collection', 'political opinion', 'demographic study']","['african americans', 'data collection', 'demographic study', 'eligible voters', 'political opinion', 'social research', 'telephone surveys', 'voting behavior', 'voting rights act (1965-usa)', 'voting turnout']","telephone survey,eligible voters,march to june,1996,social research,data collection,political opinion,demographic study"
28044,"The purpose of the study was to evaluate the implementation of the Safe City crime prevention model that was implemented in designated retail areas in jurisdictions across the United States. The model involved frequent meetings and information-sharing among the police, Target, and neighboring retailers, along with the implementation of enhanced technology.  The first step in the Safe City evaluation involved selecting evaluation sites.  The final sites selected were Chula Vista, California, and Cincinnati, Ohio.  Next, for each of the two sites, researchers selected a site that had a potential for crime displacement caused by the intervention area, and a matched comparison area in another jurisdiction that would likely have been selected as a Safe City site.  For Chula Vista, the displacement area was 2 miles east of the intervention area and the comparison area was in Houston, Texas.  For Cincinnati, the displacement area was 1.5 miles north of the intervention area and the comparison area was in Buffalo, New York.  In Chula Vista, the Safe City intervention activities were focused on gaining a better understanding of the nature and underlying causes of the crime and disorder problems occurring in the designated Safe City site, and strengthening pre-existing partnerships between law enforcement and businesses affected by these problems.  In Cincinnati, the Safe City intervention activities centered on increasing business and citizen awareness, communication, and involvement in crime control and prevention activities.  The research team collected pre- and post-intervention crime data from local police departments (Part 1) to measure the impact of the Safe City initiatives in Chula Vista and Cincinnati.  The 981 records in Part 1 contain monthly crime counts from January 2004 to November 2008 for various types of crime in the retail areas that received the intervention in Chula Vista and Cincinnati, and their corresponding displacement zones and matched comparison areas.  Using the monthly crime counts contained in the Safe City Monthly Crime Data (Part 1) and estimations of the total cost of crime to society for various offenses from prior research, the research team calculated the total cost of crimes reported during the month/year for each crime type that was readily available (Part 2).  The 400 records in the Safe City Monthly Cost Benefit Analysis Data (Part 2) contain monthly crime cost estimates from January 2004 to November 2008 for assaults, burglaries, larcenies, and robberies in the retail areas that received the intervention in Chula Vista and Cincinnati, and their corresponding displacement zones and matched comparison areas.  The research team also received a total of 192 completed baseline and follow-up surveys with businesses in Chula Vista and Cincinnati in 2007 and 2008 (Part 3).  The surveys collected data on merchants' perceptions of crime and safety in and around businesses located in the Safe City areas.  The Safe City Monthly Crime Data (Part 1) contain seven variables including the number of crimes in the target area, the month and year the crime was committed, the number of crimes in the displacement area, the number of crimes in a comparable area in a comparable city, the city, and the crime type.  The Safe City Monthly Cost Benefit Analysis Data (Part 2) contain seven variables including the cost of the specified type of crime occurring in the target area, the month and year the cost was incurred, the cost of the specified type of crime in the displacement area, the cost of the specified type of crime in a matched comparison area, the city, and the crime type. The Safe City Business Survey Data (Part 3) contain 132 variables relating to perceptions of safety, contact with local police, experience and reporting of crime, impact of crime, crime prevention, community connections, and business/employee information.","['safe city model', 'crime prevention', 'retail areas', 'police collaboration', 'technology implementation', 'evaluation sites', 'crime displacement', 'cost analysis', 'merchant perceptions', 'community involvement']","['community policing', 'crime prevention', 'crime statistics', 'criminal justice policy', 'criminal justice system', 'law enforcement agencies', 'police community relations', 'public safety', 'technology transfer', 'victim services']","safe city model,retail areas,police collaboration,technology implementation,evaluation sites,crime displacement,merchant perceptions"
6031,"This data collection includes revised estimates of the
population of the 3,141 counties in the United States as defined in the
1990 Census. Data are grouped by five-year age category (ages 0-4, 5-9,
etc.), sex, and modified race (White, Black, other) for each year from
1980 to 1989, beginning with July 1, 1980. The revised estimates were
developed by interpolating from modified Decennial Census files for
both 1980 and 1990.","['population estimates', 'county data', 'united states', '1990 census', 'age categories', 'sex distribution', 'race demographics', 'annual statistics', '1980-1989 period', 'census interpolation']","['age categories', 'annual statistics', 'census data', 'population census', 'population distribution', 'population estimates', 'population projections', 'race demographics', 'sex distribution', 'united states']","county data,1990 census,age categories,sex distribution,race demographics,annual statistics,1980-1989 period,census interpolation"
38045,"<p>The National Lawful Use of Guns Survey is a baseline internet-based survey of 2,086 gun owners
who were surveyed in 2019 and again one year later. The survey measured a wide range of variables,
including: (a) psychographics; (b) firearm-related knowledge, beliefs, attitudes, practices, and norms;
(c) a wide range of personal values; (d) level of engagement with guns (emotional and moral attachment to guns);
(e) association between firearms and personal values; (f) mindset towards firearm and other public health policies;
(g) level of inclusion in or alienation from the gun control movement; and (h) level of civic engagement with gun
violence prevention.
</p><p>The National Lawful Use of Guns Follow-Up Survey was conducted in 2020 and sampled the same 2,086
gun owners who responded to the baseline survey. This survey tested several communication messages intended to
try to increase the willingness of gun owners to participate in gun violence prevention activities.</p>","['gun ownership survey', 'baseline internet-based', 'longitudinal study', 'firearm-related knowledge', 'personal values', 'emotional attachment', 'public health policies', 'gun control movement', 'civic engagement', 'violence prevention activities']","['civic engagement', 'emotional states', 'firearm legislation', 'gun control', 'public health', 'public opinion', 'public policy', 'violence prevention', 'voting behavior', 'weapons offenses']","gun ownership survey,baseline internet-based,longitudinal study,firearm-related knowledge,emotional attachment,public health policies,gun control movement,violence prevention activities"
2748,"This data collection consists of four integrated surveys of
 schools, administrators, and teachers in the United States. The
 1993-1994 survey was expanded to include a student survey, in which
 information about students was taken from school administrative
 records, and a library survey, which collected data on school
 libraries and librarians (presented in Parts 5 and 6, the School
 Data). Parts 1 and 2, Public and Private Teacher Data, provide
 information on teaching assignment, teaching experience,
 certification, professional development, teaching workload,
 perceptions and attitudes about teaching, teacher salaries and
 incentives, retirement policies, job mobility, workplace conditions,
 and school disciplinary and academic problems. Parts 3 and 4, Public
 and Private Administrator Data, provide information about the
 training, experience, professional background, and demographic
 characteristics of school principals, and about the types of school
 problems principals view as serious. Parts 5 and 6, Public and Private
 School Data, present data on school characteristics, enrollment,
 student-staff ratios, programs and services offered, and length of the
 school day. Variables in Part 7, Public District Data, include
 information on student enrollment, number of full-time and part-time
 teachers, demographics of students and teachers, and information on
lunch programs.","['school surveys', 'administrator data', 'teacher data', 'student information', 'library data', 'professional development', 'teaching workload', 'principal demographics', 'school characteristics', 'district demographics']","['educational administration', 'educational assessment', 'educational environment', 'educational facilities', 'educational planning', 'educational policy', 'educational programs', 'educational system', 'educational testing', 'educational vouchers']","school surveys,administrator data,teacher data,student information,library data,teaching workload,principal demographics,school characteristics,district demographics"
1279,"This is a collection of intra-daily, interval-level data of
protest and repression during the 1988 Burmese uprising (March
1-October 31, 1988) derived from content analysis of news wire
reports, newspapers, and historical narratives.","['burmese uprising', '1988', 'intra-daily data', 'interval-level data', 'protest events', 'repression incidents', 'content analysis', 'news wire reports', 'historical narratives', 'march to october']","['armed conflict', 'civil rights movement', ""coup d'etat"", 'government corruption', 'historical data', 'political protest', 'political violence', 'repression', 'social movements', 'state political conflict']","burmese uprising,1988,intra-daily data,interval-level data,protest events,repression incidents,content analysis,news wire reports,historical narratives,march to october"
8837,"These surveys were undertaken to measure changes in consumer 
 attitudes and expectations, to understand why these changes occur, and 
 to evaluate how they relate to consumer decisions to save, borrow, or 
 make discretionary purchases. This type of information is essential for 
 forecasting changes in aggregate consumer behavior. Since the late 
 1940s, these surveys have been produced quarterly through 1977 and 
 monthly thereafter. Each monthly survey contains approximately 40-50 
 questions and probes a different aspect of consumer confidence. 
 Open-ended questions are asked concerning evaluations and expectations 
 about personal finances, employment, price changes, and the national 
 business situation. Additional questions probe buying intentions for 
 automobiles and the respondent's appraisals of present market 
conditions for purchasing houses, automobiles, and other durables.","['consumer attitudes', 'consumer expectations', 'decision making', 'saving behavior', 'borrowing trends', 'discretionary spending', 'consumer confidence', 'economic forecasting', 'purchasing intentions', 'market conditions']","['consumer behavior', 'consumer expenditures', 'consumer loans', 'consumer price index', 'economic behavior', 'economic forecasting', 'economic indicators', 'economic trends', 'market economy', 'purchasing']","saving behavior,borrowing trends,discretionary spending,consumer confidence,purchasing intentions,market conditions"
2574,"This collection provides data on labor force activity for
the week prior to the survey. Comprehensive data are available on the
employment status, occupation, and industry of persons 14 years old
and over. Also shown are personal characteristics such as age, sex,
race, marital status, veteran status, household relationship,
educational background, and Hispanic origin. The displaced worker
questions were asked of all persons aged 20 years and older who lost a
job involuntarily within the last three years based on operating
decisions of a firm, plant, or business. Data are provided on reasons
for job displacement, industry and occupation of the former job, group
health insurance coverage, job tenure, and weekly earnings. Additional
data refer to periods of unemployment as well as number of jobs held,
use of unemployment benefits, whether residence was changed to seek
work in another area, current health insurance coverage, and current
weekly earnings. The employee tenure questions were asked of all
persons 15 years and older who were employed during the reference
week.","['labor force data', 'employment status', 'personal characteristics', 'displaced workers', 'job displacement reasons', 'industry occupation', 'health insurance', 'job tenure', 'unemployment benefits', 'employee tenure']","['displaced workers', 'employee tenure', 'employment', 'employment discrimination', 'employment status', 'health insurance', 'job displacement reasons', 'job tenure', 'labor force', 'unemployment benefits']","labor force data,personal characteristics,job displacement reasons,industry occupation,employee tenure"
7311,"This study was designed as a two-wave panel investigation
of the 1971 election for the Second Chamber of Parliament in the
Netherlands. The first wave was completed during the election
campaign, and the second wave was conducted after the April 28, 1971,
election date. Of the 2,495 respondents, 1,980 were reinterviewed in
the second wave. The questions focused on the respondents' partisan
preferences, political participation, and attitudes on political
issues. The respondents were asked about problems in society and in
their localities. In addition, they were asked to assess the
performance of the political parties. Demographic data include age,
sex, marital status, number of children, level of education,
employment status and occupation, union membership, and religious
preference.","['electoral study', 'panel investigation', 'dutch politics', 'election campaign', 'voter behavior', 'political attitudes', 'societal issues', 'party performance', 'demographic data', 'political participation']","['demographic data', 'Dutch parliament', 'election campaigns', 'electoral behavior', 'political attitudes', 'political participation', 'political parties', 'public opinion', 'voter behavior', 'voting behavior']","electoral study,panel investigation,dutch politics,election campaign,societal issues,party performance,demographic data"
