study_id,text,gpt_response
6624,"This special topic poll sought respondents' views on
 President Bill Clinton's handling of the situation in the former
 Yugoslavian republics and the Whitewater real estate
 venture. Respondents were asked whether they believed high government
 officials or the national news media when their reports differed, and
 whether the national news media paid too much attention to topics such
 as Whitewater, health care, crime, and the economy. The role of the
 news media in the Whitewater situation was also probed. Demographic
background variables include political orientation and sex.","['bill clinton', 'yugoslavian republics', 'whitewater venture', 'government officials', 'national news media', 'media attention', 'health care', 'crime', 'economy', 'demographic variables.']"
9770,"This data collection provides detailed tabulations of
100-percent data items from the 1990 Census of Population and Housing.
These tabulations are presented for states and their subareas in
hierarchical sequence down to the census tract or block numbering area
(BNA) level. Population items include age, race, sex, marital status,
Hispanic origin, household type, and household
relationship. Population items for Puerto Rico include persons,
families, households, sex, age, marital status, household size, and
household type. Housing items include occupancy/vacancy status,
tenure, units in structure, contract rent, meals included in rent,
value, and number of rooms in housing unit. Crosstabulations include
variables such as single year of age by sex, tenure by age of
householder, age by group quarters, aggregate value by units in
structure, and tenure by number of nonrelatives. The dataset contains
both ""A"" and ""B"" records. ""A"" records are provided for each
summary level in a geographic area, and are repeated for each
geographic component. ""B"" records repeat the same data for each
summary level/geographic component combination, but are tabulated for
each of ten categories of race and Hispanic origin.","['1990 census', 'population data', 'housing information', 'geographic areas', 'census tract', 'demographic characteristics', 'data tabulations', 'race and ethnicity', 'housing occupancy', 'socioeconomic variables']"
24054,"The data contain records of sentenced offenders committed to the custody of the Bureau of Prisons (BOP) during fiscal year 1997. The data include commitments of United States District Court, violators of conditions of release (e.g., parole, probation, or supervised release violators), offenders convicted in other courts (e.g., military or District of Columbia courts), and persons admitted to prison as material witnesses or for purposes of treatment, examination, or transfer to another authority. These data include variables that describe the offender, such as age, race, citizenship, as well as variables that describe the sentences and expected prison terms. The data file contains original variables from the Bureau of Prisons' SENTRY database, as well as ""SAF"" variables that denote subsets of the data. These SAF variables are related to statistics reported in the Compendium of Federal Justice Statistics, Tables 7.9-7.16. Variables containing identifying information (e.g., name, Social Security Number) were replaced with blanks, and the day portions of date fields were also sanitized in order to protect the identities of individuals. These data are part of a series designed by the Urban Institute (Washington, DC) and the Bureau of Justice Statistics. Data and documentation were prepared by the Urban Institute.","['bureau of prisons', 'sentenced offenders', 'fiscal year 1997', 'united states district court', 'release violators', 'offender demographics', 'sentencing data', 'sentry database', 'saf variables', 'identity protection']"
1125,"Telephone survey of 221 eligible voting African Americans
conducted from March to June 1996.","['telephone survey', 'african americans', 'eligible voting', 'march to june', '1996', 'social science', 'public opinion', 'political engagement', 'demographic research', 'data collection']"
28044,"The purpose of the study was to evaluate the implementation of the Safe City crime prevention model that was implemented in designated retail areas in jurisdictions across the United States. The model involved frequent meetings and information-sharing among the police, Target, and neighboring retailers, along with the implementation of enhanced technology.  The first step in the Safe City evaluation involved selecting evaluation sites.  The final sites selected were Chula Vista, California, and Cincinnati, Ohio.  Next, for each of the two sites, researchers selected a site that had a potential for crime displacement caused by the intervention area, and a matched comparison area in another jurisdiction that would likely have been selected as a Safe City site.  For Chula Vista, the displacement area was 2 miles east of the intervention area and the comparison area was in Houston, Texas.  For Cincinnati, the displacement area was 1.5 miles north of the intervention area and the comparison area was in Buffalo, New York.  In Chula Vista, the Safe City intervention activities were focused on gaining a better understanding of the nature and underlying causes of the crime and disorder problems occurring in the designated Safe City site, and strengthening pre-existing partnerships between law enforcement and businesses affected by these problems.  In Cincinnati, the Safe City intervention activities centered on increasing business and citizen awareness, communication, and involvement in crime control and prevention activities.  The research team collected pre- and post-intervention crime data from local police departments (Part 1) to measure the impact of the Safe City initiatives in Chula Vista and Cincinnati.  The 981 records in Part 1 contain monthly crime counts from January 2004 to November 2008 for various types of crime in the retail areas that received the intervention in Chula Vista and Cincinnati, and their corresponding displacement zones and matched comparison areas.  Using the monthly crime counts contained in the Safe City Monthly Crime Data (Part 1) and estimations of the total cost of crime to society for various offenses from prior research, the research team calculated the total cost of crimes reported during the month/year for each crime type that was readily available (Part 2).  The 400 records in the Safe City Monthly Cost Benefit Analysis Data (Part 2) contain monthly crime cost estimates from January 2004 to November 2008 for assaults, burglaries, larcenies, and robberies in the retail areas that received the intervention in Chula Vista and Cincinnati, and their corresponding displacement zones and matched comparison areas.  The research team also received a total of 192 completed baseline and follow-up surveys with businesses in Chula Vista and Cincinnati in 2007 and 2008 (Part 3).  The surveys collected data on merchants' perceptions of crime and safety in and around businesses located in the Safe City areas.  The Safe City Monthly Crime Data (Part 1) contain seven variables including the number of crimes in the target area, the month and year the crime was committed, the number of crimes in the displacement area, the number of crimes in a comparable area in a comparable city, the city, and the crime type.  The Safe City Monthly Cost Benefit Analysis Data (Part 2) contain seven variables including the cost of the specified type of crime occurring in the target area, the month and year the cost was incurred, the cost of the specified type of crime in the displacement area, the cost of the specified type of crime in a matched comparison area, the city, and the crime type. The Safe City Business Survey Data (Part 3) contain 132 variables relating to perceptions of safety, contact with local police, experience and reporting of crime, impact of crime, crime prevention, community connections, and business/employee information.","['crime prevention model', 'safe city evaluation', 'retail area security', 'police-business partnership', 'enhanced technology', 'crime data analysis', 'cost of crime', 'crime displacement study', 'merchant safety perceptions', 'community-police relations']"
6031,"This data collection includes revised estimates of the
population of the 3,141 counties in the United States as defined in the
1990 Census. Data are grouped by five-year age category (ages 0-4, 5-9,
etc.), sex, and modified race (White, Black, other) for each year from
1980 to 1989, beginning with July 1, 1980. The revised estimates were
developed by interpolating from modified Decennial Census files for
both 1980 and 1990.","['population estimates', 'county data', 'united states', '1990 census', 'age categories', 'sex distribution', 'race demographics', 'annual statistics', '1980-1989 period', 'census interpolation']"
38045,"<p>The National Lawful Use of Guns Survey is a baseline internet-based survey of 2,086 gun owners
who were surveyed in 2019 and again one year later. The survey measured a wide range of variables,
including: (a) psychographics; (b) firearm-related knowledge, beliefs, attitudes, practices, and norms;
(c) a wide range of personal values; (d) level of engagement with guns (emotional and moral attachment to guns);
(e) association between firearms and personal values; (f) mindset towards firearm and other public health policies;
(g) level of inclusion in or alienation from the gun control movement; and (h) level of civic engagement with gun
violence prevention.
</p><p>The National Lawful Use of Guns Follow-Up Survey was conducted in 2020 and sampled the same 2,086
gun owners who responded to the baseline survey. This survey tested several communication messages intended to
try to increase the willingness of gun owners to participate in gun violence prevention activities.</p>","['gun owners', 'baseline survey', 'follow-up survey', 'psychographics', 'firearm knowledge', 'personal values', 'emotional attachment', 'public health policies', 'gun control movement', 'civic engagement']"
2748,"This data collection consists of four integrated surveys of
 schools, administrators, and teachers in the United States. The
 1993-1994 survey was expanded to include a student survey, in which
 information about students was taken from school administrative
 records, and a library survey, which collected data on school
 libraries and librarians (presented in Parts 5 and 6, the School
 Data). Parts 1 and 2, Public and Private Teacher Data, provide
 information on teaching assignment, teaching experience,
 certification, professional development, teaching workload,
 perceptions and attitudes about teaching, teacher salaries and
 incentives, retirement policies, job mobility, workplace conditions,
 and school disciplinary and academic problems. Parts 3 and 4, Public
 and Private Administrator Data, provide information about the
 training, experience, professional background, and demographic
 characteristics of school principals, and about the types of school
 problems principals view as serious. Parts 5 and 6, Public and Private
 School Data, present data on school characteristics, enrollment,
 student-staff ratios, programs and services offered, and length of the
 school day. Variables in Part 7, Public District Data, include
 information on student enrollment, number of full-time and part-time
 teachers, demographics of students and teachers, and information on
lunch programs.","['education surveys', 'school data', 'teacher information', 'administrator profiles', 'student demographics', 'library statistics', 'teaching conditions', 'school characteristics', 'principal perceptions', 'district resources']"
1279,"This is a collection of intra-daily, interval-level data of
protest and repression during the 1988 Burmese uprising (March
1-October 31, 1988) derived from content analysis of news wire
reports, newspapers, and historical narratives.","['burmese uprising', '1988', 'intra-daily data', 'interval-level data', 'protest analysis', 'repression events', 'content analysis', 'news wire reports', 'historical narratives', 'newspapers sources']"
8837,"These surveys were undertaken to measure changes in consumer 
 attitudes and expectations, to understand why these changes occur, and 
 to evaluate how they relate to consumer decisions to save, borrow, or 
 make discretionary purchases. This type of information is essential for 
 forecasting changes in aggregate consumer behavior. Since the late 
 1940s, these surveys have been produced quarterly through 1977 and 
 monthly thereafter. Each monthly survey contains approximately 40-50 
 questions and probes a different aspect of consumer confidence. 
 Open-ended questions are asked concerning evaluations and expectations 
 about personal finances, employment, price changes, and the national 
 business situation. Additional questions probe buying intentions for 
 automobiles and the respondent's appraisals of present market 
conditions for purchasing houses, automobiles, and other durables.","['consumer attitudes', 'consumer expectations', 'saving decisions', 'borrowing habits', 'discretionary spending', 'forecasting behavior', 'quarterly surveys', 'monthly surveys', 'consumer confidence', 'buying intentions']"
2574,"This collection provides data on labor force activity for
the week prior to the survey. Comprehensive data are available on the
employment status, occupation, and industry of persons 14 years old
and over. Also shown are personal characteristics such as age, sex,
race, marital status, veteran status, household relationship,
educational background, and Hispanic origin. The displaced worker
questions were asked of all persons aged 20 years and older who lost a
job involuntarily within the last three years based on operating
decisions of a firm, plant, or business. Data are provided on reasons
for job displacement, industry and occupation of the former job, group
health insurance coverage, job tenure, and weekly earnings. Additional
data refer to periods of unemployment as well as number of jobs held,
use of unemployment benefits, whether residence was changed to seek
work in another area, current health insurance coverage, and current
weekly earnings. The employee tenure questions were asked of all
persons 15 years and older who were employed during the reference
week.","['labor force activity', 'employment status', 'personal characteristics', 'displaced worker', 'job displacement', 'health insurance', 'job tenure', 'unemployment benefits', 'employee tenure', 'weekly earnings']"
7311,"This study was designed as a two-wave panel investigation
of the 1971 election for the Second Chamber of Parliament in the
Netherlands. The first wave was completed during the election
campaign, and the second wave was conducted after the April 28, 1971,
election date. Of the 2,495 respondents, 1,980 were reinterviewed in
the second wave. The questions focused on the respondents' partisan
preferences, political participation, and attitudes on political
issues. The respondents were asked about problems in society and in
their localities. In addition, they were asked to assess the
performance of the political parties. Demographic data include age,
sex, marital status, number of children, level of education,
employment status and occupation, union membership, and religious
preference.","['panel study', 'electoral research', 'political attitudes', 'voter behavior', 'demographic analysis', 'societal issues', 'party performance', 'post-election survey', 'political participation', 'dutch politics']"
3955,"This data collection presents base year through fourth
 follow-up data for the National Education Longitudinal Study (see
 NATIONAL EDUCATION LONGITUDINAL STUDY, 1988 [ICPSR 9389], FIRST
 FOLLOW-UP, 1990 [ICPSR 9859], SECOND FOLLOW-UP, 1992 [ICPSR 6448]),
 and THIRD FOLLOW-UP, 1994 [ICPSR 6961]. In addition, these data
 sustain continuing trend comparisons with NATIONAL LONGITUDINAL STUDY
 OF THE CLASS OF 1972 (ICPSR 8085) and HIGH SCHOOL AND BEYOND, 1980
 (ICPSR 7896, 8297, 8443, 8896). NELS:88/2000 collected information on
 this cohort's accomplishments 12 years after the eighth-grade baseline
 survey. The 2000 data were collected at a key stage of life
 transitions for the eighth-grade class of 1988 since most had been out
 of high school for nearly eight years and many had already completed
 postsecondary education, started or even changed careers, and started
 families. Part 1, Student-Level Data, includes universe variables,
 base-year, first and second follow-up student components, school
 variables at the student level, second and third follow-up early
 graduate supplement and student-level transcript variables, first,
 second, and third follow-up dropout components, base-year and second
 follow-up parent components, and third and fourth follow-up
 questionnaires and derived variables. Part 2, Postsecondary Education
 Attendance Data, provides information for third and fourth follow-up
 respondents on attendance at postsecondary institutions. Part 3,
 Postsecondary Institution Data, supplies information about
 institutions applied to or attended by fourth follow-up respondents
 regarding sector, tuition/fee deciles, and enrollment. Part 4,
 Postsecondary 1994 Education Attendance Data, provides information for
 third follow-up respondents on attendance at postsecondary
institutions, including enrollment dates and major fields of study.","['longitudinal study', 'educational research', 'data collection', 'student outcomes', 'postsecondary education', 'cohort analysis', 'educational transitions', 'academic achievement', 'career development', 'family formation']"
13538,"Summary File 4 (SF 4) from the United States 2000 Census
contains the sample data, which is the information compiled from the
questions asked of a sample of all people and housing units.
Population items include basic population totals: urban and rural,
households and families, marital status, grandparents as caregivers,
language and ability to speak English, ancestry, place of birth,
citizenship status, year of entry, migration, place of work, journey
to work (commuting), school enrollment  and educational attainment,
veteran status, disability, employment status, industry, occupation,
class of worker, income, and poverty status. Housing items include
basic housing totals: urban and rural, number of rooms, number of
bedrooms, year moved into unit, household size and occupants per room,
units in structure, year structure built, heating fuel, telephone
service, plumbing and kitchen facilities, vehicles available, value of
home, monthly rent, and shelter costs. In Summary File 4, the sample
data are presented in 213 population tables (matrices) and 110 housing
tables, identified with ""PCT"" and ""HCT"" respectively. Each table is
iterated for 336 population groups: the total population, 132 race
groups, 78 American Indian and Alaska Native tribe categories
(reflecting 39 individual tribes), 39 Hispanic or Latino groups, and
86 ancestry groups. The presentation of SF4 tables for any of the 336
population groups is subject to a population threshold. That is, if
there are fewer than 100 people (100-percent count) in a specific
population group in a specific geographic area, and there are fewer
than 50 unweighted cases, their population and housing characteristics
data are not available for that geographic area in SF4. For the
ancestry iterations, only the 50 unweighted cases test can be
performed. See Appendix H: Characteristic Iterations, for a complete
list of characteristic iterations.","['united states census', 'sample data', 'population totals', 'housing units', 'marital status', 'educational attainment', 'employment status', 'income analysis', 'ancestry groups', 'threshold requirements']"
38231,"The data contain records of defendants in criminal cases filed in United States District Court during fiscal year 2018. The data were constructed from the Administrative Office of the United States District Courts' (AOUSC) criminal file. Defendants in criminal cases may be either individuals or corporations. There is one record for each defendant in each case filed. Included in the records are data from court proceedings and offense codes for up to five offenses charged at the time the case was filed. (The most serious charge at termination may differ from the most serious charge at case filing, due to plea bargaining or action of the judge or jury.) In a case with multiple charges against the defendant, a ""most serious"" offense charge is determined by a hierarchy of offenses based on statutory maximum penalties associated with the charges. The data file contains variables from the original AOUSC files as well as additional analysis variables. Variables containing identifying information (e.g., name, Social Security number) were either removed, coarsened, or blanked in order to protect the identities of individuals. These data are part of a series designed by Abt and the Bureau of Justice Statistics. Data and documentation were prepared by Abt.","['criminal cases', 'united states', 'district court', 'fiscal year 2018', ""defendants' records"", 'offense codes', 'court proceedings', 'most serious charge', 'data protection', 'statistical analysis']"
2776,"This special topic poll, fielded June 9-13, 1999, sought
 respondents' views on the upcoming 2000 presidential election. Those
 queried were asked for whom they would vote given the choice between
 Democratic candidate Vice President Al Gore and Republican candidate
 Texas Governor George W. Bush, and how strongly they felt about their
 current choice. Respondents were also asked whether they believed
 that Gore understood the problems of people like them, was boring,
 or was a strong leader. An additional question concerned the
 Democratic primary or caucus for president in 2000. Given a choice
 between Gore and former New Jersey Senator Bill Bradley, respondents
 were asked for their vote choice. Background information on
 respondents includes age, race, sex, political party, education,
 marital status, employment status, age of members of household, and
income.","['2000 presidential election', 'public opinion poll', 'al gore', 'george w. bush', 'voter preference', 'leadership qualities', 'democratic primary', 'bill bradley', 'respondent demographics', 'election issues']"
34336,"The data contain records of arrests and bookings for federal offenses in the United States during fiscal year 2010. The data were constructed from the United States Marshals Service (USMS) Prisoner Tracking System database. Records include arrests made by federal law enforcement agencies (including the USMS), state and local agencies, and self-surrenders. Offenders arrested for federal offenses are transferred to the custody of the USMS for processing, transportation, and detention. The Prisoner Tracking System contains data on all offenders within the custody of the USMS. The data file contains variables from the original USMS files as well as additional analysis variables, or ""SAF"" variables, that denote subsets of the data. These SAF variables are related to statistics reported in the Compendium of Federal Justice Statistics, Tables 1.1-1.3. Variables containing identifying information (e.g., name, Social Security Number) were replaced with blanks, and the day portions of date fields were also sanitized in order to protect the identities of individuals. These data are part of a series designed by the Urban Institute (Washington, DC) and the Bureau of Justice Statistics. Data and documentation were prepared by the Urban Institute.","['federal offenses', 'arrest records', 'usms database', 'prisoner tracking system', 'law enforcement agencies', 'offender custody', 'data sanitization', 'identity protection', 'statistical analysis', 'urban institute research.']"
1191,"Many countries mandate inflation control as the paramount
 objective for monetary policy. Critics argue, however, that such a
 narrow focus compromises monetary authorities' responsibility to
 preserve stability of the financial system and that a more limited
 focus on inflation control could increase financial instability. The
 authors examine the economic histories of the United States, the
 United Kingdom, and Canada, and determine that most episodes of severe
 financial instability occurred during disinflationary periods that
 followed sustained inflation. They conclude that the evidence appears
 to support the claims of those who argue that control of inflation
 could enhance, rather than detract from, the stability of a financial
system.","['inflation control', 'monetary policy', 'financial stability', 'economic histories', 'united states', 'united kingdom', 'canada', 'disinflationary periods', 'sustained inflation', 'financial instability']"
7884,"One in a series of studies on customer response to utility
regulatory pricing in early 1975, the Arkansas demonstration project
was carried out by the Federal Energy Administration (FEA), the
Arkansas Public Service Commission, and Torche Ross and Company,
spanning 12 months from February 1976 to January 1977. The study was
originally titled the Arkansas Demand Management Study and was an
experiment to generate and analyze data on the effects of peak-load
pricing on residential electricity consumption. The experimental
design featured a time of day peak-load pricing test as well as a
seasonal pricing test. Five sets of data resulted from the
demonstration: questionnaire survey data from the customers, summary
demographic information, utility load reports, weather data, and
customer usage records. All five sets are available in this data
collection. The questionnaire survey data in Part 1 consists of
information gathered from a post experimental survey that includes both
control and experimental customers. Parts 3-5 each contain 28 days of
data, with Parts 3 and 5 including hourly data. Parts 3-5 also contain
identifying information that links their data to the pertinent
customer/participant's demographic data in Part 2.","['utility regulatory pricing', 'customer response', 'arkansas demonstration project', 'federal energy administration', 'peak-load pricing', 'residential electricity consumption', 'time of day pricing', 'seasonal pricing test', 'questionnaire survey data', 'experimental design']"
